time,kind,level,count,side,res,cost
2023-05-07 01:00:00,LEVEL,28805.575,4,1,1,0.022874615976375388
2023-05-07 05:00:00,LEVEL,28894.75,4,-1,1,0.022823657187993656
2023-05-07 01:00:00,LEVEL,29047.78,5,-1,1,0.02306695188227409
2023-05-08 19:00:00,LEVEL,27282.68571428571,7,1,1,0.014995121137321698
2023-05-08 18:00:00,LEVEL,27407.7,3,1,1,0.015227028716274885
2023-05-08 20:00:00,LEVEL,27517.466666666664,3,-1,0,0.014575411880248522
2023-05-08 08:00:00,LEVEL,27634.3875,8,1,1,0.017804945032819226
2023-05-08 08:00:00,LEVEL,27737.2,7,1,1,0.017871187532718553
2023-05-08 07:00:00,LEVEL,27816.32222222222,9,1,-1,0.01910543702749754
2023-05-08 07:00:00,LEVEL,27899.74,5,1,-1,0.019162731916720313
2023-05-08 07:00:00,LEVEL,27978.833333333332,6,1,-1,0.01921705659297416
2023-05-08 01:00:00,LEVEL,28096.379999999997,5,1,-1,0.02278065624445739
2023-05-08 01:00:00,LEVEL,28176.237500000003,8,1,-1,0.022845405021917044
2023-05-08 01:00:00,LEVEL,28311.100000000002,7,1,-1,0.022954752071350747
2023-05-08 01:00:00,LEVEL,28393.359999999997,5,1,-1,0.02302144880533103
2023-05-08 00:00:00,LEVEL,28502.583333333332,6,-1,1,0.024290464903637017
2023-05-09 14:00:00,LEVEL,27407.7,3,1,1,0.020257920266087675
2023-05-09 05:00:00,LEVEL,27525.6,4,1,1,0.017708112020265003
2023-05-09 01:00:00,LEVEL,27634.3875,8,-1,0,0.016723408600930457
2023-05-09 01:00:00,LEVEL,27737.2,7,-1,1,0.016785627293014124
2023-05-10 17:00:00,LEVEL,26770.100000000002,3,1,1,0.017201670682730916
2023-05-10 17:00:00,LEVEL,26953.100000000002,3,1,1,0.017319261044176696
2023-05-10 17:00:00,LEVEL,27090.2,3,1,1,0.017407357429718863
2023-05-10 17:00:00,LEVEL,27172.550000000003,8,1,1,0.017460273092369468
2023-05-10 17:00:00,LEVEL,27282.844444444443,9,1,1,0.017531145024542602
2023-05-10 17:00:00,LEVEL,27411.75,4,1,1,0.017613975903614444
2023-05-10 07:00:00,LEVEL,27525.6,4,1,1,0.02372640879215596
2023-05-10 17:00:00,LEVEL,27634.3875,8,1,1,0.0177570361445783
2023-05-10 00:00:00,LEVEL,27738.5375,8,-1,1,0.022258160936833873
2023-05-10 01:00:00,LEVEL,27816.25,10,-1,1,0.02236145304727927
2023-05-10 12:00:00,LEVEL,27899.74,5,-1,-1,0.022578313691770754
2023-05-10 12:00:00,LEVEL,27978.833333333332,6,-1,-1,0.02264232124492099
2023-05-10 12:00:00,LEVEL,28092.8,6,-1,1,0.022734550604420593
2023-05-10 15:00:00,LEVEL,28176.237500000003,8,-1,1,0.023543962815959905
2023-05-10 17:00:00,CONTROL,26688.444700888725,3,1,1,0.017149201414225674
2023-05-10 17:00:00,CONTROL,26679.9191230186,3,1,1,0.017143723131256918
2023-05-10 17:00:00,CONTROL,26866.453357880095,3,1,1,0.017263584486991217
2023-05-10 17:00:00,CONTROL,26855.435243054715,8,1,1,0.017256504573850407
2023-05-11 17:00:00,LEVEL,26770.100000000002,3,1,-1,0.016003945672277545
2023-05-11 14:00:00,LEVEL,26953.100000000002,3,1,-1,0.013307503124373201
2023-05-11 13:00:00,LEVEL,27090.2,3,1,-1,0.01378877348136602
2023-05-11 13:00:00,LEVEL,27172.550000000003,8,1,-1,0.013830689210898861
2023-05-11 08:00:00,LEVEL,27282.844444444443,9,1,-1,0.013846084661119397
2023-05-11 00:00:00,LEVEL,27420.96,5,1,-1,0.01432394782807424
2023-05-11 00:00:00,LEVEL,27525.6,4,1,-1,0.014378608857473999
2023-05-11 17:00:00,CONTROL,26866.10711908013,3,1,-1,0.016061341525035293
2023-05-12 04:00:00,LEVEL,26508.466666666664,3,1,-1,0.01621436909039936
2023-05-12 02:00:00,LEVEL,26622.2,3,1,-1,0.0167067461562598
